trig,re,eu,tp,slm,tr_n,tr_wr,tr_total,tr_tpd,tr_worst,te_n,te_wr,te_total,te_tpd,te_worst,both_pos
15min,7,12,1.0,far,91,0.5384615384615384,3.0414343753129334,0.875,-1.0,39,0.6153846153846154,5.773989273654205,0.7959183673469388,-1.0,True
15min,7,12,1.25,mid,91,0.3956043956043956,6.134054907820591,0.875,-1.0,39,0.48717948717948717,14.38683372265158,0.7959183673469388,-1.0,True
15min,7,12,1.25,far,91,0.5164835164835165,6.8442675677130715,0.875,-1.0,39,0.5897435897435898,8.096804078936627,0.7959183673469388,-1.0,True
15min,7,12,1.5,mid,91,0.38461538461538464,9.286341450973879,0.875,-1.0,39,0.4358974358974359,12.808641016448394,0.7959183673469388,-1.0,True
15min,7,12,1.5,far,91,0.4945054945054945,6.461530928498384,0.875,-1.0,39,0.5128205128205128,4.44113260146527,0.7959183673469388,-1.0,True
15min,7,12,2.0,mid,91,0.37362637362637363,5.6646125536832965,0.875,-1.0,39,0.4358974358974359,14.70537999116899,0.7959183673469388,-1.0,True
15min,7,12,2.0,far,91,0.46153846153846156,4.5457352676562195,0.875,-1.0,39,0.48717948717948717,4.513947117153719,0.7959183673469388,-1.0,True
15min,7,14,1.0,mid,101,0.42574257425742573,3.209944754267637,0.9711538461538461,-1.0,44,0.5,9.29392757241326,0.8979591836734694,-1.0,True
15min,7,14,1.0,far,101,0.5445544554455446,3.6603102027937027,0.9711538461538461,-1.0,44,0.5909090909090909,4.240479389988259,0.8979591836734694,-1.0,True
15min,7,14,1.25,mid,101,0.4158415841584158,9.693620787713144,0.9711538461538461,-1.0,44,0.45454545454545453,11.251629702473512,0.8979591836734694,-1.0,True
15min,7,14,1.25,far,101,0.5247524752475248,7.317497428979957,0.9711538461538461,-1.0,44,0.5454545454545454,5.737606121876114,0.8979591836734694,-1.0,True
15min,7,14,1.5,mid,101,0.40594059405940597,13.26422416254957,0.9711538461538461,-1.0,44,0.4090909090909091,9.673436996270324,0.8979591836734694,-1.0,True
15min,7,14,1.5,far,101,0.504950495049505,7.162523592999758,0.9711538461538461,-1.0,44,0.4772727272727273,2.0819346444047593,0.8979591836734694,-1.0,True
15min,7,14,2.0,mid,101,0.39603960396039606,9.677148730605536,0.9711538461538461,-1.0,44,0.4090909090909091,11.570175970990919,0.8979591836734694,-1.0,True
15min,7,14,2.0,far,101,0.4752475247524752,4.912496126227714,0.9711538461538461,-1.0,44,0.45454545454545453,2.1547491600932087,0.8979591836734694,-1.0,True
15min,8,10,1.0,mid,54,0.42592592592592593,-2.938336973288453,0.5192307692307693,-1.0,26,0.5769230769230769,11.219591637847621,0.5306122448979592,-1.0,False
15min,8,10,1.0,far,54,0.5,-2.7117769968837586,0.5192307692307693,-1.0,26,0.6538461538461539,5.440378740214064,0.5306122448979592,-1.0,False
15min,8,10,1.25,mid,54,0.42592592592592593,1.7688171780750377,0.5192307692307693,-1.0,26,0.5384615384615384,12.765019058240782,0.5306122448979592,-1.0,True
15min,8,10,1.25,far,54,0.5,0.8224462197507103,0.5192307692307693,-1.0,26,0.6153846153846154,6.194450512006039,0.5306122448979592,-1.0,True
15min,8,10,1.5,mid,54,0.42592592592592593,3.1680658845406313,0.5192307692307693,-1.0,26,0.5,13.09902230598235,0.5306122448979592,-1.0,True
15min,8,10,1.5,far,54,0.5,1.4833502448908265,0.5192307692307693,-1.0,26,0.5769230769230769,5.2983445873635455,0.5306122448979592,-1.0,True
15min,8,10,2.0,mid,54,0.4074074074074074,-0.5862107762494224,0.5192307692307693,-1.0,26,0.46153846153846156,10.529023106311872,0.5306122448979592,-1.0,False
15min,8,10,2.0,far,54,0.48148148148148145,-0.572804405392918,0.5192307692307693,-1.0,26,0.5384615384615384,4.613957367333304,0.5306122448979592,-1.0,False
